ADX_THRESHOLD_LONG,ADX_THRESHOLD_SHORT,ROC_THRESHOLD_LONG,ROC_THRESHOLD_SHORT,TARGET_MULTIPLIER,STOP_LOSS_ATR_MULT,MAX_HOLDING_DAYS,PARTIAL_EXIT_THRESHOLD,sharpe_oos,n_trades
30,35,0.8,1.2,1.2,2.0,3,0.1,1.469388469629302,270
30,35,0.8,1.2,1.5,2.0,7,0.07,1.465814539230728,252
20,35,0.8,0.5,1.2,1.0,3,0.05,1.4648406041095767,492
20,30,0.8,0.5,1.2,1.0,3,0.07,1.4626726534007533,510
20,35,0.8,0.5,1.5,1.0,3,0.05,1.460992202785183,477
20,30,0.8,0.8,1.2,1.0,3,0.1,1.4589518821323157,507
30,30,0.8,0.8,2.0,1.0,5,0.07,1.4557140357081093,336
30,25,0.8,1.2,1.5,1.0,3,0.07,1.4528764247162935,375
30,25,0.8,0.8,1.5,1.0,3,0.1,1.450545578168596,381
30,30,0.8,0.8,1.2,1.0,7,0.05,1.4480166416719902,354
30,30,0.8,0.8,1.2,1.0,5,0.05,1.4480166416719902,354
20,35,0.8,0.8,1.2,1.0,3,0.07,1.44800189787555,489
20,30,0.8,0.5,1.2,1.0,3,0.1,1.44762566488636,510
30,35,0.8,0.8,2.0,1.0,5,0.05,1.4459454527687057,318
30,35,0.8,1.2,1.5,2.0,3,0.07,1.445653500430809,270
30,35,0.8,1.2,2.0,2.0,3,0.07,1.445653500430809,270
30,25,0.8,1.2,1.5,1.0,7,0.07,1.4446493631011144,366
30,30,0.8,1.2,2.0,2.0,3,0.05,1.4431723744178973,288
30,30,0.8,1.2,1.5,2.0,3,0.05,1.4431723744178973,288
30,30,0.8,1.2,1.2,2.0,3,0.07,1.4430510797809577,288
30,35,0.8,0.5,1.2,1.0,5,0.05,1.442903469481767,339
30,35,0.8,0.5,1.2,1.0,7,0.05,1.442903469481767,339
30,30,0.8,0.8,2.0,1.0,5,0.1,1.4420575857399103,336
30,25,0.8,0.5,2.0,1.0,3,0.07,1.4397504933006577,378
20,35,0.8,0.8,1.2,1.0,3,0.1,1.4394697752733423,489
30,25,0.8,0.8,1.5,1.0,3,0.07,1.4388731842026066,381
30,35,0.8,1.2,1.5,2.0,7,0.1,1.4373101015303473,252
30,25,0.8,0.5,2.0,1.0,3,0.05,1.436388084973301,378
30,30,0.8,0.5,2.0,1.0,5,0.07,1.4346622550283854,339
20,35,0.8,0.5,1.2,1.0,3,0.07,1.4328359946372233,492
30,25,0.8,0.8,1.5,1.0,7,0.07,1.4326259313331127,372
20,30,0.8,0.8,1.5,1.0,3,0.1,1.4294763600698888,492
20,35,0.8,1.2,1.5,1.0,3,0.1,1.4286136660438375,471
30,25,0.8,0.5,1.5,1.0,7,0.1,1.428362129706692,378
30,30,0.8,0.5,1.2,1.0,7,0.05,1.42821022763791,357
30,30,0.8,0.5,1.2,1.0,5,0.05,1.42821022763791,357
20,35,0.8,0.8,1.5,1.0,3,0.07,1.426442644472808,474
30,35,0.8,1.2,1.5,2.0,3,0.1,1.425278956507995,270
30,35,0.8,1.2,2.0,2.0,3,0.1,1.425278956507995,270
20,35,0.8,0.5,1.2,1.0,3,0.1,1.4243111594847984,492
30,30,0.8,0.5,2.0,1.0,5,0.1,1.4206634167792285,339
30,25,0.8,0.5,2.0,1.0,3,0.1,1.418321644567544,378
20,30,0.8,0.5,1.5,1.0,3,0.1,1.4173719834022849,495
30,30,0.8,1.2,1.5,2.0,7,0.07,1.4170568922853726,270
30,35,0.8,0.5,2.0,1.0,5,0.05,1.4144556316884234,321
30,35,0.8,1.2,1.5,2.0,7,0.05,1.411995204345751,252
30,30,0.8,0.8,2.0,1.0,5,0.05,1.4109005405175339,336
20,35,0.8,0.5,1.5,1.0,3,0.07,1.4097618424625256,477
30,25,0.8,0.8,1.5,1.0,3,0.05,1.407939008751338,381
20,30,0.8,1.2,1.5,1.0,7,0.07,1.407284956359718,474
30,25,0.8,1.2,1.5,1.0,3,0.05,1.402246578688785,375
30,30,0.8,1.2,1.5,2.0,3,0.07,1.4015937409825152,288
30,30,0.8,1.2,2.0,2.0,3,0.07,1.4015937409825152,288
30,35,0.8,1.2,1.2,2.0,7,0.07,1.4010849766749458,255
30,30,0.8,1.2,1.2,2.0,3,0.1,1.3986946186902622,288
30,35,0.8,1.2,2.0,2.0,7,0.07,1.3981860936862567,252
20,30,0.8,1.2,1.5,1.0,7,0.05,1.392201413339382,474
30,30,0.8,1.2,1.5,2.0,7,0.05,1.3917470119351274,270
30,30,0.8,0.5,2.0,1.0,5,0.05,1.3900530731555445,339
20,30,0.8,1.2,1.5,1.0,7,0.1,1.3880667491845442,474
30,35,0.8,0.8,1.2,2.0,3,0.05,1.387696757174967,273
30,25,0.8,0.5,1.5,1.0,3,0.1,1.3861941065107546,387
25,30,0.8,1.2,2.0,1.0,3,0.05,1.3845801633419683,405
30,30,0.8,1.2,1.5,2.0,7,0.1,1.3789432280364187,270
30,35,0.8,1.2,1.2,2.0,7,0.1,1.3784155161044054,255
30,25,0.8,0.5,1.5,1.0,7,0.07,1.3738167355860464,378
30,25,0.8,0.5,1.5,1.0,3,0.07,1.3734715976209861,387
25,30,0.8,1.2,1.5,1.0,3,0.1,1.3680763924863086,420
20,35,0.8,0.8,1.5,1.0,3,0.1,1.367958036139406,474
30,35,0.8,0.8,1.2,2.0,3,0.07,1.367890933649167,273
30,30,0.8,1.2,1.2,2.0,7,0.07,1.3662597260512288,273
20,35,0.8,1.2,1.5,1.0,7,0.07,1.366159336323677,456
25,30,0.8,1.2,1.5,1.0,3,0.07,1.3650489477244403,420
25,30,0.8,1.2,2.0,1.0,3,0.07,1.3649086849707557,405
30,35,0.8,1.2,2.0,2.0,7,0.1,1.362985370794425,252
30,35,0.8,0.8,1.5,2.0,7,0.07,1.3601580655578054,255
30,30,0.8,1.2,2.0,2.0,3,0.1,1.3595054496752506,288
30,30,0.8,1.2,1.5,2.0,3,0.1,1.3595054496752506,288
25,35,0.8,1.2,2.0,1.0,3,0.05,1.3589271845836453,387
20,30,0.8,0.8,1.5,1.0,7,0.07,1.3545964841867506,477
30,30,0.8,1.2,2.0,2.0,7,0.07,1.3542588609599497,270
20,35,0.8,1.2,1.5,1.0,7,0.05,1.3538558793523854,456
25,30,0.8,1.2,1.5,1.0,3,0.05,1.3525762387043625,420
